sample_ID	nucleic_acid	volume_dna	conc_dna	well_position	plate_no	gene	sample_type	sample	amendment	frass_source	frass_treatment	frass_dose	leaf_size	shoot_biomass
114B	DNA	20	28.578	A02	P04	16S	bulk_soil	soil	frass	Y	U	2	35.27	0.44
115B	DNA	20	15.748	B02	P04	16S	bulk_soil	soil	frass	Y	U	2	35.27	0.43
116B	DNA	20	43.666	C02	P04	16S	bulk_soil	soil	frass	Y	U	2	34.16	0.46
117B	DNA	20	29.347	D02	P04	16S	bulk_soil	soil	frass	Y	U	2	44.82	0.61
118B	DNA	20	20.59	E02	P04	16S	bulk_soil	soil	frass	Y	U	2	38.72	0.56
119B	DNA	20	8.503	F02	P04	16S	bulk_soil	soil	frass	Y	U	2	33.06	0.54
120B	DNA	20	9.091	G02	P04	16S	bulk_soil	soil	frass	Y	U	2	28.86	0.48
121B	DNA	20	52.006	H02	P04	16S	bulk_soil	soil	frass	Y	U	5	46.10	0.78
122B	DNA	20	43.567	A03	P04	16S	bulk_soil	soil	frass	Y	U	5	47.39	0.51
123B	DNA	20	69.984	B03	P04	16S	bulk_soil	soil	frass	Y	U	5	39.91	0.62
124B	DNA	20	24.85	C03	P04	16S	bulk_soil	soil	frass	Y	U	5	44.82	0.83
125B	DNA	20	50.854	D03	P04	16S	bulk_soil	soil	frass	Y	U	5	39.91	0.93
126B	DNA	20	17.871	E03	P04	16S	bulk_soil	soil	frass	Y	U	5	43.57	0.78
127B	DNA	20	55.225	F03	P04	16S	bulk_soil	soil	frass	Y	U	5	44.82	0.79
128B	DNA	20	63.379	G03	P04	16S	bulk_soil	soil	frass	Y	U	5	50.03	0.99
129B	DNA	20	52.426	H03	P04	16S	bulk_soil	soil	frass	Y	U	5	44.82	0.75
130B	DNA	20	24.617	A04	P04	16S	bulk_soil	soil	frass	Y	U	5	43.57	0.69
131B	DNA	20	24.677	B04	P04	16S	bulk_soil	soil	frass	Y	U	5	46.10	0.68
132B	DNA	20	60.208	C04	P04	16S	bulk_soil	soil	frass	Y	U	5	44.82	0.94
133B	DNA	20	60.973	D04	P04	16S	bulk_soil	soil	frass	Y	U	5	39.91	0.86
134B	DNA	20	28.683	E04	P04	16S	bulk_soil	soil	frass	Y	U	5	38.72	0.56
136B	DNA	20	39.616	F04	P04	16S	bulk_soil	soil	frass	Y	U	5	48.70	0.82
137B	DNA	20	36.604	G04	P04	16S	bulk_soil	soil	frass	Y	U	5	43.57	0.38
138B	DNA	20	91.529	H04	P04	16S	bulk_soil	soil	frass	Y	U	5	51.37	0.63
139B	DNA	20	70.317	A05	P04	16S	bulk_soil	soil	frass	Y	U	5	41.11	0.57
140B	DNA	20	46.635	B05	P04	16S	bulk_soil	soil	frass	Y	U	5	38.72	0.5
141B	DNA	20	58.318	C05	P04	16S	bulk_soil	soil	frass	Y	C	2	31.99	0.42
142B	DNA	20	50.98	D05	P04	16S	bulk_soil	soil	frass	Y	C	2	31.99	0.44
143B	DNA	20	64.235	E05	P04	16S	bulk_soil	soil	frass	Y	C	2	54.11	1.15
144B	DNA	20	66.627	F05	P04	16S	bulk_soil	soil	frass	Y	C	2	41.11	0.84
145B	DNA	20	49.211	G05	P04	16S	bulk_soil	soil	frass	Y	C	2	38.72	0.98
146B	DNA	20	70.232	H05	P04	16S	bulk_soil	soil	frass	Y	C	2	31.99	0.71
147B	DNA	20	63.755	A06	P04	16S	bulk_soil	soil	frass	Y	C	2	39.91	0.92
148B	DNA	20	78.561	B06	P04	16S	bulk_soil	soil	frass	Y	C	2	39.91	0.94
149B	DNA	20	75.164	C06	P04	16S	bulk_soil	soil	frass	Y	C	2	51.37	1.16
150B	DNA	20	34.744	D06	P04	16S	bulk_soil	soil	frass	Y	C	2	36.41	1.07
151B	DNA	20	17.767	E06	P04	16S	bulk_soil	soil	frass	Y	C	2	28.86	0.69
152B	DNA	20	162.741	F06	P04	16S	bulk_soil	soil	frass	Y	C	2	28.86	0.44
153B	DNA	20	18.846	G06	P04	16S	bulk_soil	soil	frass	Y	C	2	29.88	0.5
154B	DNA	20	70.933	H06	P04	16S	bulk_soil	soil	frass	Y	C	2	39.91	0.49
155B	DNA	20	22.058	A07	P04	16S	bulk_soil	soil	frass	Y	C	2	28.86	0.4
156B	DNA	20	22.396	B07	P04	16S	bulk_soil	soil	frass	Y	C	2	46.10	1.31
157B	DNA	20	41.011	C07	P04	16S	bulk_soil	soil	frass	Y	C	2	48.70	0.75
158B	DNA	20	90.655	D07	P04	16S	bulk_soil	soil	frass	Y	C	2	41.11	0.82
159B	DNA	20	72.532	E07	P04	16S	bulk_soil	soil	frass	Y	C	2	44.82	0.79
160B	DNA	20	52.055	F07	P04	16S	bulk_soil	soil	frass	Y	C	2	50.03	0.64
161B	DNA	20	19.126	G07	P04	16S	bulk_soil	soil	frass	Y	C	5	50.03	0.77
162B	DNA	20	16.095	H07	P04	16S	bulk_soil	soil	frass	Y	C	5	37.55	0.57
163B	DNA	20	20.496	A08	P04	16S	bulk_soil	soil	frass	Y	C	5	43.57	0.5
164B	DNA	20	49.096	B08	P04	16S	bulk_soil	soil	frass	Y	C	5	37.55	0.57
165B	DNA	20	54.654	C08	P04	16S	bulk_soil	soil	frass	Y	C	5	46.10	0.63
166B	DNA	20	18.007	D08	P04	16S	bulk_soil	soil	frass	Y	C	5	52.73	0.91
167B	DNA	20	20.652	E08	P04	16S	bulk_soil	soil	frass	Y	C	5	39.91	0.47
168B	DNA	20	40.98	F08	P04	16S	bulk_soil	soil	frass	Y	C	5	50.03	0.74
169B	DNA	20	24.539	G08	P04	16S	bulk_soil	soil	frass	Y	C	5	39.91	0.42
170B	DNA	20	33.944	H08	P04	16S	bulk_soil	soil	frass	Y	C	5	67.33	0.74
171B	DNA	20	78.795	A09	P04	16S	bulk_soil	soil	frass	Y	C	5	59.81	1.05
172B	DNA	20	42.437	B09	P04	16S	bulk_soil	soil	frass	Y	C	5	54.11	0.96
173B	DNA	20	36.665	C09	P04	16S	bulk_soil	soil	frass	Y	C	5	58.36	1.05
174B	DNA	20	23	D09	P04	16S	bulk_soil	soil	frass	Y	C	5	43.57	0.85
175B	DNA	20	34.38	E09	P04	16S	bulk_soil	soil	frass	Y	C	5	42.33	0.87
176B	DNA	20	59.596	F09	P04	16S	bulk_soil	soil	frass	Y	C	5	56.93	1.03
177B	DNA	20	45.999	G09	P04	16S	bulk_soil	soil	frass	Y	C	5	51.37	1.02
178B	DNA	20	45.259	H09	P04	16S	bulk_soil	soil	frass	Y	C	5	51.37	0.68
179B	DNA	20	63.93	A10	P04	16S	bulk_soil	soil	frass	Y	C	5	46.10	1.53
180B	DNA	20	19.466	B10	P04	16S	bulk_soil	soil	frass	Y	C	5	39.91	0.68
1F	DNA	20	246.66	C10	P04	16S	frass	frass	frass	X	U	0	0	0
2F	DNA	20	241.478	D10	P04	16S	frass	frass	frass	X	U	0	0	0
3F	DNA	20	255.735	E10	P04	16S	frass	frass	frass	X	U	0	0	0
4F	DNA	20	268.285	F10	P04	16S	frass	frass	frass	X	U	0	0	0
5F	DNA	20	316.22	G10	P04	16S	frass	frass	frass	X	U	0	0	0
6F	DNA	20	227.87	H10	P04	16S	frass	frass	frass	X	U	0	0	0
7F	DNA	20	258.014	A11	P04	16S	frass	frass	frass	X	U	0	0	0
8F	DNA	20	262.389	B11	P04	16S	frass	frass	frass	X	U	0	0	0
9F	DNA	20	265.321	C11	P04	16S	frass	frass	frass	X	U	0	0	0
10F	DNA	20	222.633	D11	P04	16S	frass	frass	frass	X	U	0	0	0
11F	DNA	20	340.89	E11	P04	16S	frass	frass	frass	Y	U	0	0	0
12F	DNA	20	280.183	F11	P04	16S	frass	frass	frass	Y	U	0	0	0
13F	DNA	20	317.426	G11	P04	16S	frass	frass	frass	Y	U	0	0	0
14F	DNA	20	274.203	H11	P04	16S	frass	frass	frass	Y	U	0	0	0
15F	DNA	20	314.033	A12	P04	16S	frass	frass	frass	Y	U	0	0	0
16F	DNA	20	316.588	B12	P04	16S	frass	frass	frass	Y	U	0	0	0
17F	DNA	20	236.21	C12	P04	16S	frass	frass	frass	Y	U	0	0	0
18F	DNA	20	333.917	D12	P04	16S	frass	frass	frass	Y	U	0	0	0
19F	DNA	20	255.565	E12	P04	16S	frass	frass	frass	Y	U	0	0	0
20F	DNA	20	298.354	F12	P04	16S	frass	frass	frass	Y	U	0	0	0
21F	DNA	20	101.391	G12	P04	16S	frass	frass	frass	X	C	0	0	0
MOCK4	DNA	20	MOCK	H12	P04	16S	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK
22F	DNA	20	139.262	A01	P05	16S	frass	frass	frass	X	C	0	0	0
23F	DNA	20	179.074	B01	P05	16S	frass	frass	frass	X	C	0	0	0
24F	DNA	20	225.856	C01	P05	16S	frass	frass	frass	X	C	0	0	0
25F	DNA	20	202.586	D01	P05	16S	frass	frass	frass	X	C	0	0	0
26F	DNA	20	177.331	E01	P05	16S	frass	frass	frass	X	C	0	0	0
27F	DNA	20	193.405	F01	P05	16S	frass	frass	frass	X	C	0	0	0
28F	DNA	20	139.788	G01	P05	16S	frass	frass	frass	X	C	0	0	0
29F	DNA	20	231.795	H01	P05	16S	frass	frass	frass	X	C	0	0	0
30F	DNA	20	248.388	A02	P05	16S	frass	frass	frass	X	C	0	0	0
31F	DNA	20	253.543	B02	P05	16S	frass	frass	frass	Y	C	0	0	0
32F	DNA	20	214.844	C02	P05	16S	frass	frass	frass	Y	C	0	0	0
33F	DNA	20	245.365	D02	P05	16S	frass	frass	frass	Y	C	0	0	0
34F	DNA	20	270.876	E02	P05	16S	frass	frass	frass	Y	C	0	0	0
35F	DNA	20	256.998	F02	P05	16S	frass	frass	frass	Y	C	0	0	0
36F	DNA	20	294.91	G02	P05	16S	frass	frass	frass	Y	C	0	0	0
37F	DNA	20	348.33	H02	P05	16S	frass	frass	frass	Y	C	0	0	0
38F	DNA	20	285.681	A03	P05	16S	frass	frass	frass	Y	C	0	0	0
39F	DNA	20	256.158	B03	P05	16S	frass	frass	frass	Y	C	0	0	0
40F	DNA	20	273.445	C03	P05	16S	frass	frass	frass	Y	C	0	0	0
MOCK5	DNA	20	MOCK	B07	P05	16S	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK	MOCK
